"","region","Median.smooth","lower.smooth","upper.smooth","Year"
"1","Asia",262784553.199137,209311953.89546,331545311.107823,1970
"2","Europe, EU",20878372.3733381,17560347.7091178,24829606.2351804,1970
"3","Europe, non-EU",23065740.3178399,15687618.6478415,34175795.7208445,1970
"4","Latin America and the Caribbean",16252708.6911383,12742186.4869348,21449267.1051842,1970
"5","Middle East & North Africa",14164685.9060783,11469446.3357007,17529744.8565418,1970
"6","Northern America",3434743.68470798,2964676.76935111,3979443.44678965,1970
"7","Oceania",439612.228427266,367452.673277291,526353.559733502,1970
"8","Sub-Saharan Africa",32132674.8390816,23704262.6365339,45536118.9560699,1970
"9","Asia",271037525.948523,216532005.190677,340917418.278839,1971
"10","Europe, EU",20736357.4087172,17436575.005243,24670622.6787318,1971
"11","Europe, non-EU",23261791.836293,15862500.7441553,34378582.7657715,1971
"12","Latin America and the Caribbean",16413511.2080626,12871964.487428,21655016.0089901,1971
"13","Middle East & North Africa",14423825.9574793,11689190.9428797,17836698.8501818,1971
"14","Northern America",3406567.86125373,2940784.12016269,3946222.92113023,1971
"15","Oceania",443873.670615547,371071.737357413,531380.135222399,1971
"16","Sub-Saharan Africa",32725686.4637484,24158324.4246733,46365031.4302947,1971
"17","Asia",279082988.174595,223573020.993461,350048875.615174,1972
"18","Europe, EU",20594734.298381,17312823.5199023,24512578.3845265,1972
"19","Europe, non-EU",23453946.3584363,16036189.3049107,34572758.7382344,1972
"20","Latin America and the Caribbean",16568371.660738,12996635.5650434,21853692.5902619,1972
"21","Middle East & North Africa",14684338.2990099,11909385.9582474,18146338.3722042,1972
"22","Northern America",3377696.01602746,2916243.19288682,3912260.35083487,1972
"23","Oceania",448228.28077642,374749.632100889,536545.736800688,1972
"24","Sub-Saharan Africa",33349666.6434449,24634727.5234341,47236924.0101775,1972
"25","Asia",286919994.358532,230435395.293448,358936690.005265,1973
"26","Europe, EU",20453512.1096126,17189019.1665856,24355647.9179524,1973
"27","Europe, non-EU",23643363.7595422,16210079.4882353,34758803.7947449,1973
"28","Latin America and the Caribbean",16717069.575823,13115993.6238319,22045074.8647615,1973
"29","Middle East & North Africa",14946637.3344301,12130355.9381197,18459197.5973936,1973
"30","Northern America",3348019.94493498,2890959.50105854,3877431.81293586,1973
"31","Oceania",452671.520131472,378482.538954937,541844.974761493,1973
"32","Sub-Saharan Africa",34004497.3347399,25133502.228535,48151344.1645114,1973
"33","Asia",294547598.981514,237119522.080274,367577868.337543,1974
"34","Europe, EU",20312699.9096946,17065087.8587827,24200005.8443977,1974
"35","Europe, non-EU",23831203.9148832,16385566.4522568,34937198.0918149,1974
"36","Latin America and the Caribbean",16859384.4799759,13229832.5678444,22228940.8482508,1974
"37","Middle East & North Africa",15211137.4674994,12352425.438813,18775810.7005348,1974
"38","Northern America",3317431.44388209,2864838.55821291,3841613.38446553,1974
"39","Oceania",457198.849902288,382266.639366778,547272.459397937,1974
"40","Sub-Saharan Africa",34690060.4942022,25654678.8356952,49107839.3620898,1974
"41","Asia",301964856.524721,243625795.343574,375969417.500446,1975
"42","Europe, EU",20172306.7659102,16940955.5099835,24045826.7292504,1975
"43","Europe, non-EU",24018626.6997315,16564045.3551028,35108421.7859564,1975
"44","Latin America and the Caribbean",16995095.8998551,13337946.3011321,22405068.5564916,1975
"45","Middle East & North Africa",15478253.1019778,12575919.0166435,19096711.8564126,1975
"46","Northern America",3285822.30877458,2837785.87788499,3804681.14245617,1975
"47","Oceania",461805.731310456,386098.114783631,552822.801003145,1975
"48","Sub-Saharan Africa",35406238.0784002,26198287.6406333,50105957.0717061,1975
"49","Asia",309170821.469331,249954609.072986,384108344.382406,1976
"50","Europe, EU",20032341.7455422,16816548.033678,23893285.1378986,1976
"51","Europe, non-EU",24206791.9893595,16746911.3549009,35272955.0336811,1976
"52","Latin America and the Caribbean",17123983.3621191,13440128.7277459,22573236.0052459,1976
"53","Middle East & North Africa",15748398.6416249,12801161.2279273,19422435.2398118,1976
"54","Northern America",3253084.33551825,2809706.97360982,3766511.16394011,1976
"55","Oceania",466487.62557756,389973.146652715,558490.609870241,1976
"56","Sub-Saharan Africa",36152912.0439029,26764358.9390684,51145244.7621536,1976
"57","Asia",316164548.296524,256106357.258144,391991655.871858,1977
"58","Europe, EU",19892813.9158734,16691791.3433559,23742555.6357302,1977
"59","Europe, non-EU",24396859.6590397,16935559.6097788,35431277.9915009,1977
"60","Latin America and the Caribbean",17245826.3934261,13536173.7517368,22733221.2102755,1977
"61","Middle East & North Africa",16021988.4902004,13028476.6289806,19753515.025517,1977
"62","Northern America",3219109.3200189,2780507.35892245,3726979.52594965,1977
"63","Oceania",471239.993925188,393887.91642125,564270.496292349,1977
"64","Sub-Saharan Africa",36929964.3472789,27352923.0267193,52225249.9022256,1977
"65","Asia",322943653.852646,262079811.107373,399615313.658903,1978
"66","Europe, EU",19753696.2500449,16566628.4511541,23593672.960597,1978
"67","Europe, non-EU",24589212.1992973,17130515.0511423,35583417.0851548,1978
"68","Latin America and the Caribbean",17360549.7047033,13626005.0120828,22884962.2899722,1978
"69","Middle East & North Africa",16299394.6028873,13258150.9948763,20090437.0670798,1978
"70","Northern America",3183817.33741801,2750117.11679051,3685994.87559067,1978
"71","Oceania",476056.42063262,397836.801238245,570155.162990636,1978
"72","Sub-Saharan Africa",37737305.7088499,27964005.6622957,53345637.4993167,1978
"73","Asia",329507750.24436,267873494.831976,406980673.531882,1979
"74","Europe, EU",19614953.8610577,16441124.4794186,23446404.8837905,1979
"75","Europe, non-EU",24782435.3621869,17330121.3245637,35728695.7000734,1979
"76","Latin America and the Caribbean",17468415.0923625,13709863.173738,23028732.1847649,1979
"77","Middle East & North Africa",16580282.5391393,13489918.5616826,20432774.6915315,1979
"78","Northern America",3147307.64457858,2718622.79928842,3643671.06298609,1979
"79","Oceania",480938.836904326,401821.260705042,576147.139215764,1979
"80","Sub-Saharan Africa",38575036.2804843,28597576.1555738,54506815.267226,1979
"81","Asia",335858884.843321,273487431.92606,414092833.526589,1980
"82","Europe, EU",19476584.0259847,16315388.5069527,23300525.5208589,1980
"83","Europe, non-EU",24974993.9152747,17532501.6594205,35866539.4323059,1980
"84","Latin America and the Caribbean",17569707.7112896,13788017.6797177,23164811.1434707,1980
"85","Middle East & North Africa",16864007.1091222,13723276.5772087,20779693.2838769,1980
"86","Northern America",3109740.8099887,2686164.62361144,3600191.96969387,1980
"87","Oceania",485895.224349673,405848.099947357,582255.775055101,1980
"88","Sub-Saharan Africa",39443322.1660708,29253580.1288726,55709444.7343527,1980
"89","Asia",341999105.021182,278921645.883732,420956891.678816,1981
"90","Europe, EU",19338584.0218987,16189529.6125601,23155808.9873504,1981
"91","Europe, non-EU",25165352.6261267,17735779.2850903,35996373.8779017,1981
"92","Latin America and the Caribbean",17664712.7163705,13860737.9730372,23293479.4149069,1981
"93","Middle East & North Africa",17149923.123002,13957722.2892638,21130358.2291208,1981
"94","Northern America",3071277.40213647,2652882.80695485,3555741.47727191,1981
"95","Oceania",490933.564578032,409924.124090911,588490.420596017,1981
"96","Sub-Saharan Africa",40342329.469498,29931963.2045111,56954187.4290965,1981
"97","Asia",347930458.149597,284176160.199099,427577946.024358,1982
"98","Europe, EU",19200951.1258725,16063656.8750444,23012029.3988131,1982
"99","Europe, non-EU",25351976.2623093,17938077.4309507,36117624.6329101,1982
"100","Latin America and the Caribbean",17753715.2624912,13928293.4967116,23415017.2478907,1982
"101","Middle East & North Africa",17437385.3909445,14192752.9456572,21483934.9122678,1982
"102","Northern America",3032077.98951,2618917.56651393,3510503.46727816,1982
"103","Oceania",496061.83919877,414056.13826142,594860.425925878,1982
"104","Sub-Saharan Africa",41272224.2946544,30632671.0048083,58241704.8798568,1982
"105","Asia",353654991.600219,289250998.366268,433961094.599009,1983
"106","Europe, EU",19063682.614979,15937879.373209,22868960.8707953,1983
"107","Europe, non-EU",25533329.5913885,18137519.326379,36229717.2933806,1983
"108","Latin America and the Caribbean",17837000.5045374,13990953.6937564,23529704.8912393,1983
"109","Middle East & North Africa",17725748.7231156,14427865.794198,21839588.7183227,1983
"110","Northern America",2992303.14059737,2584409.11948393,3464661.82127055,1983
"111","Oceania",501288.029821256,418250.947584603,601375.141132054,1983
"112","Sub-Saharan Africa",42233172.7454287,31355649.1520831,59572658.6150331,1983
"113","Asia",359174752.744703,294146183.879347,440111435.438562,1984
"114","Europe, EU",18926775.766291,15812306.1858575,22726377.5188452,1984
"115","Europe, non-EU",25707877.3809306,18332228.2007529,36332077.4553623,1984
"116","Latin America and the Caribbean",17914853.5973951,14048988.0071866,23637822.5937701,1984
"117","Middle East & North Africa",18014367.9296814,14662558.0826955,22196485.0322901,1984
"118","Northern America",2952113.42388668,2549497.68306014,3418400.420807,1984
"119","Oceania",506620.118054859,422515.357186178,608043.916301913,1984
"120","Sub-Saharan Africa",43225340.9257095,32100843.2686545,60947710.1630249,1984
"121","Asia",364491788.954703,298861740.232444,446034066.578812,1985
"122","Europe, EU",18790227.8568815,15687046.3917935,22584053.4585108,1985
"123","Europe, non-EU",25874084.3985018,18520327.2834499,36424130.7149047,1985
"124","Latin America and the Caribbean",17987559.6959502,14102665.8800177,23739650.6043001,1985
"125","Middle East & North Africa",18302597.8208075,14896327.0589589,22553789.2391749,1985
"126","Northern America",2911669.40786604,2514323.47443782,3371903.14744544,1985
"127","Oceania",512066.085508949,426856.172191863,614876.101522822,1985
"128","Sub-Saharan Africa",44248894.9393854,32868198.9768414,62367521.0522317,1985
"129","Asia",369592754.79408,303401128.167229,451690034.069738,1986
"130","Europe, EU",18653528.6630351,15560834.1498812,22443042.8738817,1986
"131","Europe, non-EU",26044443.775991,18716333.5887405,36512092.6367241,1986
"132","Latin America and the Caribbean",18052142.4250242,14149262.5206843,23832061.5888543,1986
"133","Middle East & North Africa",18594451.9359402,15132349.3636639,22916635.7808158,1986
"134","Northern America",2869728.19111654,2477797.04277063,3323752.09410731,1986
"135","Oceania",517574.183537953,431230.027676232,621810.031951654,1986
"136","Sub-Saharan Africa",45301929.3890228,33657502.0356226,63826734.7143947,1986
"137","Asia",374467633.56725,307766570.83073,457050693.961182,1987
"138","Europe, EU",18516368.6972265,15432783.7923079,22304220.9310059,1987
"139","Europe, non-EU",26228174.2236164,18931048.9335296,36600367.0626037,1987
"140","Latin America and the Caribbean",18106496.2730509,14186842.3016405,23912862.221253,1987
"141","Middle East & North Africa",18893021.1577627,15373063.7876757,23288987.6380984,1987
"142","Northern America",2825368.86919746,2439111.7439109,3272895.9349536,1987
"143","Oceania",523105.039864298,435603.838622044,628798.915031548,1987
"144","Sub-Saharan Africa",46383125.9201426,34468684.2590616,65321433.8460529,1987
"145","Asia",379123465.756691,311956235.325082,462136609.288727,1988
"146","Europe, EU",18379046.3408139,15303574.657861,22167093.2183694,1988
"147","Europe, non-EU",26418828.8764374,19157023.7511465,36685662.0041927,1988
"148","Latin America and the Caribbean",18152212.6903341,14216858.4119305,23983733.7620062,1988
"149","Middle East & North Africa",19196276.3112975,15616860.8040881,23668253.0045971,1988
"150","Northern America",2779235.0060641,2398832.00510184,3220068.42340166,1988
"151","Oceania",528685.200649341,439999.830017289,635874.40927928,1988
"152","Sub-Saharan Africa",47493531.2010654,35301910.3521045,66854438.8728027,1988
"153","Asia",383567291.844883,315968288.752423,466968343.087957,1989
"154","Europe, EU",18241859.9751555,15173886.0853281,22031165.3244582,1989
"155","Europe, non-EU",26609960.8695138,19386808.4749202,36764685.4731406,1989
"156","Latin America and the Caribbean",18190883.1271781,14240764.0405986,24046357.4716241,1989
"157","Middle East & North Africa",19502188.2215666,15862130.8859946,24051840.0738862,1989
"158","Northern America",2731970.16567177,2357522.2535867,3166003.31286878,1989
"159","Oceania",534341.212054442,444440.226849959,643068.173211624,1989
"160","Sub-Saharan Africa",48634191.9001117,36157345.0196974,68428570.2202404,1989
"161","Asia",387806152.314305,319800898.214888,471566458.394456,1990
"162","Europe, EU",18105107.9816093,15044397.4134968,21895942.8377583,1990
"163","Europe, non-EU",26795123.3379053,19612953.5381799,36834145.4810965,1990
"164","Latin America and the Caribbean",18224099.0338866,14260012.3766888,24102414.610617,1990
"165","Middle East & North Africa",19808727.7135924,16107264.5064888,24437157.0395402,1990
"166","Northern America",2684217.91197579,2315746.9166087,3111434.35677231,1990
"167","Oceania",540099.620240961,448947.254108045,650411.865345354,1990
"168","Sub-Saharan Africa",49806154.685602,37035152.9667863,70046648.3139624,1990
"169","Asia",391847087.647436,323452230.814614,475951518.243808,1991
"170","Europe, EU",17969088.7415334,14915787.9811546,21760931.3467558,1991
"171","Europe, non-EU",26967869.4166713,19828009.3742546,36890750.0397098,1991
"172","Latin America and the Caribbean",18253451.8607638,14276056.6092455,24153586.4394951,1991
"173","Middle East & North Africa",20113865.6123969,16350652.1386644,24821612.0951335,1991
"174","Northern America",2636621.80893144,2274070.42141107,3057095.30852955,1991
"175","Oceania",545986.971370258,453543.136779539,657937.144197243,1991
"176","Sub-Saharan Africa",51010466.2258569,37935498.8983175,71711493.579565,1991
"177","Asia",395697138.326756,326920453.653738,480144085.671596,1992
"178","Europe, EU",17834100.6362861,14788737.127089,21625636.4399365,1992
"179","Europe, non-EU",27121752.2408716,20024526.4164735,36931207.1606299,1992
"180","Latin America and the Caribbean",18280533.0581136,14290349.9273128,24201554.2187684,1992
"181","Middle East & North Africa",20415572.7430025,16590684.255615,25202613.4342405,1992
"182","Northern America",2589825.42049406,2233057.19523706,3003719.92155784,1992
"183","Oceania",552029.811603691,458250.099852432,665675.668284068,1992
"184","Sub-Saharan Africa",52248173.1891969,38858547.5192371,73425926.4426445,1992
"185","Asia",399363344.834745,330203733.834397,484164723.713404,1993
"186","Europe, EU",17700442.0472254,14663924.1900878,21489563.7057866,1993
"187","Europe, non-EU",27250324.9455659,20195055.0981657,36952224.855506,1993
"188","Latin America and the Caribbean",18306934.0762401,14304345.519935,24247999.2089473,1993
"189","Middle East & North Africa",20711819.9304313,16825751.3304343,25577569.2504357,1993
"190","Northern America",2544472.31061895,2193271.66532988,2952041.94927448,1993
"191","Oceania",558254.68710262,463090.368314715,673659.096122601,1993
"192","Sub-Saharan Africa",53520322.2439425,39804463.534491,75192767.3287973,1993
"193","Asia",402773594.827088,333266750.653573,487887974.727944,1994
"194","Europe, EU",17568222.7342837,14540102.5033712,21355397.2903783,1994
"195","Europe, non-EU",27372930.6401939,20363111.5001447,36961475.8873556,1994
"196","Latin America and the Caribbean",18329986.4874838,14315333.0521817,24290697.4020418,1994
"197","Middle East & North Africa",21014614.3606159,17065099.8528084,25962117.2402058,1994
"198","Northern America",2497983.68351859,2152448.26496151,2899126.12576537,1994
"199","Oceania",564575.897458411,467982.934267428,681798.400126425,1994
"200","Sub-Saharan Africa",54842791.9961161,40787855.7878569,77027319.0139939,1994
"201","Asia",405885322.25691,336094266.184109,491230947.430292,1995
"202","Europe, EU",17437269.6629455,14416009.4563284,21225097.9517647,1995
"203","Europe, non-EU",27505991.9048773,20548261.4786249,36966229.1577315,1995
"204","Latin America and the Caribbean",18346736.8064823,14320476.6364968,24326830.6240963,1995
"205","Middle East & North Africa",21332023.8670415,17314992.037284,26366710.5071986,1995
"206","Northern America",2448418.59651228,2108883.14843875,2842761.46107049,1995
"207","Oceania",570924.769406683,472865.744460415,690018.170859784,1995
"208","Sub-Saharan Africa",56222471.9918589,41815877.331887,78934350.7596021,1995
"209","Asia",408749887.052851,338714571.691936,494278054.390587,1996
"210","Europe, EU",17307457.0228972,14292300.4719999,21097086.1964034,1996
"211","Europe, non-EU",27638681.0806988,20737130.1300364,36962586.8860855,1996
"212","Latin America and the Caribbean",18358348.8969853,14321041.1329855,24357188.8866722,1996
"213","Middle East & North Africa",21656110.2460594,17569341.9442451,26780980.3557302,1996
"214","Northern America",2397377.39321557,2063983.3245571,2784768.12253837,1996
"215","Oceania",577353.389825172,477789.455854877,698370.494065441,1996
"216","Sub-Saharan Africa",57646925.3096699,42877509.1846897,80900882.7193145,1996
"217","Asia",411418649.143549,341155958.442983,497113708.178962,1997
"218","Europe, EU",17178659.0038252,14169630.9734263,20969782.5307516,1997
"219","Europe, non-EU",27760170.5087407,20916342.5508096,36946651.29187,1997
"220","Latin America and the Caribbean",18365986.6227423,14318291.401753,24382562.201331,1997
"221","Middle East & North Africa",21978935.2940211,17822063.6340758,27194558.0901169,1997
"222","Northern America",2346460.41724398,2019155.80211207,2726966.27751753,1997
"223","Oceania",583913.845591612,482804.725412013,706907.455486161,1997
"224","Sub-Saharan Africa",59103715.0280478,43961732.3643735,82913935.0468234,1997
"225","Asia",413942968.457642,343446717.703178,499822321.365555,1998
"226","Europe, EU",17050749.7954157,14048656.383648,20841607.4612667,1998
"227","Europe, non-EU",27859632.5300857,21072523.8373747,36914524.5945368,1998
"228","Latin America and the Caribbean",18370813.847503,14313492.3029044,24403740.5796342,1998
"229","Middle East & North Africa",22292560.8072778,18067071.1671602,27597075.0146749,1998
"230","Northern America",2297268.01221304,1975807.58989914,2671176.09335647,1998
"231","Oceania",590658.223583741,487962.210093025,715681.140864708,1998
"232","Sub-Saharan Africa",60580404.2254914,45057527.8890468,84960527.8958215,1998
"233","Asia",416374204.92377,345615140.73845,502488306.5205,1999
"234","Europe, EU",16923603.5873551,13930032.1257057,20710981.4944062,1999
