"","gdpg","Median.smooth","lower.smooth","upper.smooth","Year"
"1","High",11653615.774356,9881067.66872889,13752193.2351169,2015
"2","Low",128498997.851049,101615888.267059,164541545.464154,2015
"3","Lower Middle",422690749.66824,345343356.746362,521289312.882202,2015
"4","Upper Middle",51898075.2953662,39719783.6203316,68738285.7179414,2015
"5","High",10254271.149016,8651992.52648945,12160500.4919162,2020
"6","Low",136581390.65904,107377895.479051,175930078.142348,2020
"7","Lower Middle",422539588.267211,342362860.011882,525917678.618206,2020
"8","Upper Middle",47910450.0028783,36522925.1857426,63714341.7839083,2020
"9","High",8989078.90480822,7540322.14635573,10722848.3893825,2025
"10","Low",144077136.801115,112684217.626396,186556902.122413,2025
"11","Lower Middle",418905718.06128,336948271.36853,525650854.578734,2025
"12","Upper Middle",44135219.7984676,33511711.9917803,58929173.6192041,2025
"13","High",7856817.06088245,6545077.15825728,9437711.2850624,2030
"14","Low",150984923.659941,117534805.73404,196418813.381918,2030
"15","Lower Middle",411814968.526971,329116605.401923,520523799.150403,2030
"16","Upper Middle",40571315.3280285,30685042.7726804,54381864.1355868,2030
"17","High",6851924.09864754,5661697.17579237,8298280.06684091,2035
"18","Low",157274312.331603,121908743.648594,205472698.857175,2035
"19","Lower Middle",401449802.451903,318998853.482648,510777927.716423,2035
"20","Upper Middle",37210407.7442003,28035333.1125773,50063700.6094249,2035
"21","High",5990827.07118168,4903571.08539207,7324773.10679362,2040
"22","Low",163028213.353337,125860751.468494,213839376.031849,2040
"23","Lower Middle",387287651.586212,306223568.044138,495719964.082437,2040
"24","Upper Middle",34074458.5183271,25583033.0699593,45996913.7194089,2040
"25","High",5252812.03144565,4253865.1762068,6491628.94773563,2045
"26","Low",168137546.597674,129319329.484308,221359165.72068,2045
"27","Lower Middle",370010098.37926,291280414.976393,476246010.530534,2045
"28","Upper Middle",31134158.7200102,23301096.8307778,42151361.6999317,2045
"29","High",4632786.97736285,3709626.09523704,5791070.32049755,2050
"30","Low",172786342.259622,132446861.524266,228240943.548785,2050
"31","Lower Middle",349460032.840467,274065037.576632,452078485.993408,2050
"32","Upper Middle",28368419.8106819,21171654.5974976,38501331.9585838,2050
"33","High",4098338.9524066,3242424.32125279,5185752.27286876,2055
"34","Low",176476682.233298,134846733.150184,233858341.990207,2055
"35","Lower Middle",327169094.442498,255651406.551318,425367845.868181,2055
"36","Upper Middle",25755700.3940001,19172098.8794857,35031588.1092748,2055
"37","High",3619848.21127965,2827307.68967004,4640358.14890778,2060
"38","Low",179086721.474549,136407553.943563,238093561.290595,2060
"39","Lower Middle",304074815.553952,236668567.143837,397453367.411153,2060
"40","Upper Middle",23243503.5754989,17256552.8849626,31684814.6361478,2060
"41","High",3201046.03598744,2466739.55655516,4160023.42156031,2065
"42","Low",180262723.28606,136880714.514526,240429439.768879,2065
"43","Lower Middle",280567097.99464,217446844.623404,368800795.880835,2065
"44","Upper Middle",20876275.9623834,15459417.4992181,28518483.1913802,2065
"45","High",2827227.09343157,2147915.1694063,3727638.07521704,2070
"46","Low",179584735.644586,135935174.927054,240335495.503089,2070
"47","Lower Middle",257599234.330616,198660824.172416,340736344.554532,2070
"48","Upper Middle",18650211.2515195,13774952.9307815,25533910.9426003,2070
"49","High",2492003.2716222,1864674.36977196,3336334.59139188,2075
"50","Low",176714296.100659,133359828.296579,237255005.146508,2075
"51","Lower Middle",235685067.497773,180752561.002454,313838206.901302,2075
"52","Upper Middle",16607913.4556196,12233768.2226181,22789787.9560116,2075
"53","High",2195352.47603377,1616787.12037998,2986449.33198644,2080
"54","Low",172081689.813814,129485489.994295,231751410.833042,2080
"55","Lower Middle",214586924.66152,163556399.782768,287785026.337274,2080
"56","Upper Middle",14735516.8445395,10825197.6673964,20267564.4483969,2080
"57","High",1930820.32285489,1398220.36431452,2670997.49197334,2085
"58","Low",165811491.101285,124425337.769954,223947860.409096,2085
"59","Lower Middle",194557076.905985,147284552.050713,262881043.683867,2085
"60","Upper Middle",13037161.4590731,9550819.49444008,17975139.3381228,2085
"61","High",1703378.4696658,1213625.5524297,2395353.36875573,2090
"62","Low",157810533.089292,118094046.887735,213753897.529843,2090
"63","Lower Middle",175398689.195095,131771468.520822,238889241.848421,2090
"64","Upper Middle",11509398.9143969,8409226.45080672,15906073.5171464,2090
"65","High",1510899.3318067,1061014.13835288,2157212.9174577,2095
"66","Low",148107082.535367,110519641.90907,201192024.492103,2095
"67","Lower Middle",157194248.696624,117086868.50359,215907880.762087,2095
"68","Upper Middle",10153915.7076767,7401180.91152133,14063400.5639596,2095
"69","High",1354458.87996312,941389.677415464,1957745.68822233,2100
"70","Low",136691375.040189,101691366.29304,186256927.787656,2100
"71","Lower Middle",139899754.195649,103193768.171776,193884381.539538,2100
"72","Upper Middle",8969667.90859838,6526153.12173612,12445330.3274248,2100
