"","Median.smooth","lower.smooth","upper.smooth","Year"
"1",373153091.239748,293807945.154217,479571640.988166,1970
"2",382449140.354692,301862416.652577,490300973.069161,1971
"3",391559969.731409,309753775.689987,500819973.798214,1972
"4",400485765.937746,317483787.778769,511126035.132325,1973
"5",409226715.541554,325054218.431245,521216549.028495,1974
"6",417783005.110681,332466833.159738,531088907.443722,1975
"7",426154821.212975,339723397.476569,540740502.335007,1976
"8",434342350.416286,346825676.89406,550168725.659349,1977
"9",442343686.076479,353773070.196953,559369590.599605,1978
"10",450157119.861074,360562542.586946,568343914.46147,1979
"11",457783135.805402,367192209.201791,577096295.386203,1980
"12",465222217.944793,373660185.17924,585631331.51506,1981
"13",472474850.314578,379964585.657046,593953620.989301,1982
"14",479541516.950087,386103525.772962,602067761.950182,1983
"15",486422701.886653,392075120.664741,609978352.538963,1984
"16",493118889.159604,397877485.470135,617689990.896902,1985
"17",499626553.357748,403526436.896269,625166163.790468,1986
"18",505943293.748111,409033709.487478,632380260.510181,1987
"19",512071281.383353,414391295.137332,639351732.983376,1988
"20",518012687.316135,419591185.739398,646100033.137387,1989
"21",523769682.599117,424625373.187245,652644612.899549,1990
"22",529344438.28496,429485849.374441,659004924.197194,1991
"23",534739125.426325,434164606.194555,665200418.957658,1992
"24",539955915.075872,438653635.541155,671250549.108275,1993
"25",544964700.626758,442958684.549165,677065906.087811,1994
"26",549749159.856035,447091632.01763,682582946.062616,1995
"27",554332140.392202,451053667.336305,687859918.051396,1996
"28",558736489.863762,454845979.894945,692955071.072859,1997
"29",562985055.899213,458469759.083304,697926654.14571,1998
"30",567100686.127056,461926194.291136,702832916.288657,1999
"31",571106228.175794,465216474.908195,707732106.520405,2000
"32",574972968.747051,468329234.354345,712567503.536874,2001
"33",578659704.465455,471256069.079654,717244658.63709,2002
"34",582170547.844006,474002613.019183,721765229.744423,2003
"35",585509611.395702,476574500.107994,726130874.782245,2004
"36",588681007.633545,478977364.281148,730343251.673927,2005
"37",591688849.070533,481216839.473706,734404018.342837,2006
"38",594537248.219667,483298559.620731,738314832.712348,2007
"39",597230317.593946,485228158.657284,742077352.70583,2008
"40",599757563.493594,486987478.117751,745694302.926636,2009
"41",602106397.653887,488558128.564477,749163265.021089,2010
"42",604277790.74041,489945397.474463,752478182.477015,2011
"43",606272713.418744,491154572.324712,755632998.782241,2012
"44",608092136.354471,492190940.592224,758621657.424592,2013
"45",611208365.660433,493766407.287042,764076275.671974,2015
"46",615995640.02048,495051082.216282,774381106.337947,2020
"47",616589553.931811,493073087.977353,779320692.997262,2025
"48",612839820.224648,487802359.832789,778568462.858216,2030
"49",604840806.250867,479078086.931998,772617018.644189,2035
"50",593080826.990731,467365084.730452,761938059.606055,2040
"51",578048197.4245,453128168.683623,747003284.99469,2045
"52",560231232.532435,436832154.246983,728284394.06097,2050
"53",540118247.294799,418941856.876005,706253086.05577,2055
"54",518197556.691853,399922092.02616,681381060.229965,2060
"55",494957475.703857,380237675.15292,654140015.83443,2065
"56",470042432.859655,359529014.883451,624220334.875945,2070
"57",442790376.336051,337142545.437448,591019904.801387,2075
"58",413229900.585256,313102120.659175,554571683.021778,2080
"59",381389600.059477,287431594.392899,514908626.948141,2085
"60",347298069.210922,260154820.482884,472063693.991496,2090
"61",310983902.491802,231295652.773395,426069841.562868,2095
"62",272475694.354324,200877945.108698,376960027.073277,2100
