,Median.smooth,lower.smooth,upper.smooth,Year
1,375805.998735281,324019.62127808,435865.654597742,1970
2,370086.881160482,319234.461200778,429037.706875621,1971
3,364399.814756159,314469.507620312,422256.855239799,1972
4,358745.328170652,309725.169166927,415523.777033006,1973
5,353123.9500523,305001.854470871,408839.149597976,1974
6,347536.209049441,300299.97216239,402203.650277438,1975
7,341982.633810415,295619.93087173,395617.956414124,1976
8,336463.752983562,290962.139229138,389082.745350766,1977
9,330978.206033453,286325.304024312,382596.599318826,1978
10,325524.225771792,281707.879765293,376157.495926684,1979
11,320101.730867614,277109.896659839,369765.205582444,1980
12,314710.639989955,272531.384915707,363419.498694212,1981
13,309350.871807851,267972.374740655,357120.145670093,1982
14,304022.344990337,263432.89634244,350866.916918191,1983
15,298724.97820645,258912.97992882,344659.582846612,1984
16,293458.690125224,254412.655707554,338497.91386346,1985
17,288220.297709558,249928.503649783,332379.138172789,1986
18,283007.934961972,245458.413829605,326301.772851082,1987
19,277823.496110937,241004.38160921,320267.521615091,1988
20,272668.875384923,236568.402350786,314278.088181569,1989
21,267545.967012399,232152.471416525,308335.176267268,1990
22,262456.665221836,227758.584168615,302440.489588939,1991
23,257402.864241706,223388.735969245,296595.731863336,1992
24,252386.458300476,219044.922180607,290802.60680721,1993
25,247343.026991192,214667.696029987,284991.551450965,1994
26,242240.10611515,210226.806960787,279127.91051993,1995
27,237127.524213207,205768.044659364,273265.74927325,1996
28,232055.109826216,201337.198812076,267459.132970071,1997
29,227072.691495033,196980.05910528,261762.126869537,1998
30,222230.09776051,192742.415225334,256228.796230793,1999
31,217577.157163503,188670.056858596,250913.206312983,2000
32,213072.900979276,184725.384739309,245770.449818664,2001
33,208639.754341543,180837.149451761,240716.137695829,2002
34,204272.636578835,177000.665457373,235745.112571777,2003
35,199966.467019681,173211.247217567,230852.217073807,2004
36,195716.164992615,169464.209193765,226032.29382922,2005
37,191516.649826165,165754.865847389,221280.185465316,2006
38,187362.840848862,162078.531639861,216590.734609393,2007
39,183249.657389239,158430.521032602,211958.783888752,2008
40,179175.188060227,154807.432724825,207384.084576352,2009
41,175142.147156135,151210.618649482,202870.57750537,2010
42,171152.39252755,147642.523118607,198419.389643428,2011
43,167207.782025064,144105.590444234,194031.647958152,2012
44,163310.173499264,140602.264938398,189708.479417165,2013
45,155663.393780083,133706.21268047,181260.369638552,2015
46,137499.028615412,117225.309327418,161349.012950752,2020
47,120881.282985794,102073.447594578,143277.378394956,2025
48,105998.9924772,88447.4367351331,127221.992747921,2030
49,92798.9915197899,76281.4595458572,113137.551944498,2035
50,81150.5097035173,65487.1153463874,100832.180674819,2040
51,70922.7766183372,55976.0034563612,90114.003629017,2045
52,61985.0218542046,47659.7231954161,80791.1454972237,2050
53,54206.4750010744,40449.8738831896,72671.7309695715,2055
54,47456.3656489013,34258.0548393193,65563.8847361926,2060
55,41603.9233876402,28995.8653834427,59275.7314872195,2065
56,36727.6844637006,24705.8496193864,53937.5604543834,2070
57,32987.4412830421,21484.7742157788,49799.8453443891,2075
58,30374.3076749447,19325.5723394593,46850.9875598287,2080
59,28879.3974686887,18221.1771572677,45079.3885032943,2085
60,28493.824493554,18164.5218360436,44473.4495773778,2090
61,29208.7025788208,19148.5395426265,45021.5721846715,2095
62,31015.1455537692,21166.1634438561,46712.1577277674,2100
